project_code,Centrale,Contrat,Nombre onduleurs,Puissance centrale
P001288,Abattoirs de Langogne,Albioma,2.0,175.03
P002165,Aguilar 1,Reden,2.0,1650.0
P002159,Aguilar 2,Reden,2.0,2049.6
P000451,Alinea Lectoure,Reden,6.0,530.64
P002326,Alixan,Reden,17.0,2720.25
P001614,Arcally Green,Reden,54.0,705.035
P002129,Argilas,Reden,4.0,4996.525
P002257,ATN,Reden,11.0,2463.0750000000003
P002156,Augier 2,Reden,0.0,0.0
P002321,Augier 3,Reden,8.0,1247.4
P002157,Barberis,Reden,2.0,1665.3
P001084,Bardou FI,Reden,1.0,79.2
P002211,Baron,Reden,2.0,2089.8
P002339,Beaumont de Lomagne,Reden,25.0,3861.0
P001015,Benezet,Albioma,1.0,101.2
P001191,Bernard André,Albioma,2.0,110.4
P000930,Bernardin,Reden,2.0,720.0
P001888,Bessette,Albioma,21.0,187.22000000000003
P002130,Boalia,Reden,0.0,0.0
P000914,Boé 1,Reden,11.0,4451.200000000001
P001556,Bontempi,Reden,18.0,327.98
P002188,Bouhbouh,Reden,0.0,0.0
P002173,Boullard,Reden,2.0,1462.78
P001127,Boutron,Albioma,9.0,128.8
P002281,Brins Verts,Reden,19.0,2907.565
P000928,Bvi,Reden,27.0,2570.92
P001070,Caldo,Albioma,1.0,101.2
P001451,Campistrous,Eneryo,31.0,342.93000000000006
P001071,Capelle,Albioma,1.0,101.2
P002256,Carpentras,Reden,10.0,1605.1500000000003
P001119,Castaing,Albioma,2.0,117.76
P001029,Cavaille,Albioma,0.0,0.0
P000471,Cave de Buzet,Reden,15.0,1099.6299999999999
P002184,Cemoi,Reden,24.0,1140.395
P001271,Centre Equestre Labardette,Albioma,5.0,359.72
P001566,Chabeuil ,Eneryo,33.0,367.28999999999996
P002132,Chauvet,EOS,2.0,1279.8000000000002
P002145,Chauvet Amaury ,Reden,3.0,2964.6
P002160,Chauvet P,Reden,2.0,637.45
P001100,Chiapale,Albioma,15.0,180.18
