,Project_Code,Month,Value
0,P001015,janvier,221.46314503637024
1,P001191,janvier,221.59276752842408
2,P001271,janvier,222.41599983297732
3,P001070,janvier,221.62737143311875
4,P001071,janvier,221.40803646681417
5,P001029,janvier,221.48722031527467
6,P001100,janvier,223.27851954917617
7,P000584,janvier,221.84705193217638
8,P001028,janvier,221.31674619172838
9,P001322,janvier,224.29646165738353
10,P001352,janvier,224.39585051210463
11,P001274,janvier,222.77933908285848
12,P001233,janvier,224.90527325195114
13,P000518,janvier,224.4993424007627
14,P001046,janvier,219.7710484766145
15,P001065,janvier,222.49829053158828
16,P000806,janvier,222.14851828970194
17,P000706,janvier,220.42349600299667
18,P001043,janvier,221.54026413735448
19,P001087,janvier,221.30103793136306
20,P001119,janvier,224.24837454186547
21,P001205,janvier,224.18959011473788
22,P001316,janvier,221.02120896599683
23,P001311,janvier,222.88750090221293
24,P001971,janvier,221.84655995867075
25,P000798,janvier,221.38934572829254
26,P000686,janvier,221.60628883522355
27,P001292,janvier,221.40842374925518
28,P001135,janvier,224.40212023019126
29,P000586,janvier,224.35196114134345
30,P001371,janvier,216.51282057868485
31,P000729,janvier,224.1096667315678
32,P001045,janvier,220.83356348719684
33,P001096,janvier,221.57346432771197
34,P000648,janvier,226.32002912869893
35,P001288,janvier,219.79707626843538
36,,janvier,216.90248485585465
37,P001128,janvier,216.97807422703698
38,P001047,janvier,222.90996737541178
39,P000276,janvier,210.7580825958952
40,P000815,janvier,223.68370229131898
41,P001319,janvier,221.63560403645914
42,P001181,janvier,214.91537112171875
43,P001169,janvier,224.89514810881633
44,P001164,janvier,224.9174233861649
45,P000387,janvier,220.82153430186224
46,P001078,janvier,221.2484124660624
47,P000771,janvier,221.03551363375271
48,P001160,janvier,215.0502802378537
49,P001161,janvier,215.0396228197688
50,P001000,janvier,220.50183440614063
51,P001124,janvier,220.90396341136812
52,P001123,janvier,220.894084515514
53,P000995,janvier,222.96360785343995
54,P001237,janvier,214.29904182168508
55,P000605,janvier,214.95930731711678
56,P000554,janvier,212.7368428368266
57,P000572,janvier,214.78688008339395
58,P001121,janvier,212.56970124132022
59,P001888,janvier,218.7589651582859
60,P001894,janvier,219.7268208988694
61,P001893,janvier,218.62912587305527
62,P001891,janvier,219.2391630151398
63,P001889,janvier,219.48543116742934
64,P001890,janvier,218.5523267647232
65,P001895,janvier,218.83183800368636
66,P001896,janvier,219.02664355850965
67,P001975,janvier,219.02754379021377
68,P001892,janvier,218.92876838349025
69,P001976,janvier,218.92876838349025
70,P000750,janvier,213.99826063596208
71,P001015,fevrier,237.58682878766916
72,P001191,fevrier,237.72108065443922
73,P001271,fevrier,238.57371411272652
74,P001070,fevrier,237.756920412873
75,P001071,fevrier,237.52975205491464
76,P001029,fevrier,237.61176389796304
77,P001100,fevrier,239.4670381045039
78,P000584,fevrier,237.9844466440398
79,P001028,fevrier,237.43520141286155
80,P001322,fevrier,240.52133528800437
81,P001352,fevrier,240.62427374467978
82,P001274,fevrier,238.95002976438911
83,P001233,fevrier,241.15189015380656
84,P000518,fevrier,240.7314617722185
85,P001046,fevrier,235.83430020792218
86,P001065,fevrier,238.65894376485926
87,P000806,fevrier,238.2966796571913
88,P000706,fevrier,236.51004943167516
89,P001043,fevrier,237.66670214226002
90,P001087,fevrier,237.41893214319748
91,P001119,fevrier,240.47153077550354
92,P001205,fevrier,240.41064690454994
93,P001316,fevrier,237.12910928621102
94,P001311,fevrier,239.0620545058634
95,P001971,fevrier,237.98393710005183
96,P000798,fevrier,237.5103937900173
97,P000686,fevrier,237.73508486505295
98,P001292,fevrier,237.53015316887144
99,P001135,fevrier,240.63076738126955
100,P000586,fevrier,240.5788168963914
101,P001371,fevrier,232.45970702792363
102,P000729,fevrier,240.3278691148381
103,P001045,fevrier,236.93476218316817
104,P001096,fevrier,237.70108805370165
105,P000648,fevrier,242.6171730261525
106,P001288,fevrier,235.86125756373667
107,,fevrier,232.8632878864209
108,P001128,fevrier,232.9415768780026
109,P001047,fevrier,239.08532335310503
110,P000276,fevrier,226.4994426886057
111,P000815,fevrier,239.88669165886608
112,P001319,fevrier,237.76544703776125
113,P001181,fevrier,230.8052058046373
114,P001169,fevrier,241.1414033984169
115,P001164,fevrier,241.1644742213851
116,P000387,fevrier,236.9223033840716
117,P001078,fevrier,237.36442719699323
118,P000771,fevrier,237.14392483495817
119,P001160,fevrier,230.9449331034914
120,P001161,fevrier,230.93389506333193
121,P001000,fevrier,236.59118563493138
122,P001124,fevrier,237.00767639034552
123,P001123,fevrier,236.99744467678238
124,P000995,fevrier,239.14087956249136
125,P001237,fevrier,230.16686474388808
126,P000605,fevrier,230.8507111498709
127,P000554,fevrier,228.5488729381418
128,P000572,fevrier,230.67212580065802
129,P001121,fevrier,228.37576199993885
130,P001888,fevrier,234.78607105679612
131,P001894,fevrier,235.78849307382904
132,P001893,fevrier,234.65159465423585
133,P001891,fevrier,235.28341883710908
134,P001889,fevrier,235.53848228055182
135,P001890,fevrier,234.57205272060617
136,P001895,fevrier,234.86154650381803
137,P001896,fevrier,235.063309399885
138,P001975,fevrier,235.0642417827214
139,P001892,fevrier,234.96193868290067
140,P001976,fevrier,234.96193868290067
141,P000750,fevrier,229.8553413729607
142,P001015,mars,302.1474831664275
143,P001191,mars,302.1584673805191
144,P001271,mars,302.22828056298886
