,Date,Energie (kWh),Centrale,Installation
0,2023-06-01 00:00:00,0.0,,ATN
1,2023-06-01 01:00:00,0.0,,ATN
2,2023-06-01 02:00:00,0.0,,ATN
3,2023-06-01 03:00:00,0.0,,ATN
4,2023-06-01 04:00:00,0.0,,ATN
5,2023-06-01 05:00:00,0.0,,ATN
6,2023-06-01 06:00:00,8.25,,ATN
7,2023-06-01 07:00:00,88.17,,ATN
8,2023-06-01 08:00:00,399.83,,ATN
9,2023-06-01 09:00:00,752.5,,ATN
10,2023-06-01 10:00:00,795.83,,ATN
11,2023-06-01 11:00:00,946.33,,ATN
12,2023-06-01 12:00:00,1042.75,,ATN
13,2023-06-01 13:00:00,1191.83,,ATN
14,2023-06-01 14:00:00,1581.67,,ATN
15,2023-06-01 15:00:00,1453.75,,ATN
16,2023-06-01 16:00:00,1065.75,,ATN
17,2023-06-01 17:00:00,1284.25,,ATN
18,2023-06-01 18:00:00,366.25,,ATN
19,2023-06-01 19:00:00,274.17,,ATN
20,2023-06-01 20:00:00,148.17,,ATN
21,2023-06-01 21:00:00,10.33,,ATN
22,2023-06-01 22:00:00,0.0,,ATN
23,2023-06-01 23:00:00,0.0,,ATN
24,2023-06-02 00:00:00,0.0,,ATN
25,2023-06-02 01:00:00,0.0,,ATN
26,2023-06-02 02:00:00,0.0,,ATN
27,2023-06-02 03:00:00,0.0,,ATN
28,2023-06-02 04:00:00,0.0,,ATN
29,2023-06-02 05:00:00,0.0,,ATN
30,2023-06-02 06:00:00,8.75,,ATN
31,2023-06-02 07:00:00,130.08,,ATN
32,2023-06-02 08:00:00,547.58,,ATN
33,2023-06-02 09:00:00,960.92,,ATN
34,2023-06-02 10:00:00,1296.33,,ATN
35,2023-06-02 11:00:00,1542.75,,ATN
36,2023-06-02 12:00:00,1691.42,,ATN
37,2023-06-02 13:00:00,1753.75,,ATN
38,2023-06-02 14:00:00,1703.08,,ATN
39,2023-06-02 15:00:00,1611.0,,ATN
40,2023-06-02 16:00:00,1437.25,,ATN
41,2023-06-02 17:00:00,1341.25,,ATN
42,2023-06-02 18:00:00,504.0,,ATN
43,2023-06-02 19:00:00,227.67,,ATN
44,2023-06-02 20:00:00,133.25,,ATN
45,2023-06-02 21:00:00,7.75,,ATN
46,2023-06-02 22:00:00,0.0,,ATN
47,2023-06-02 23:00:00,0.0,,ATN
48,2023-06-03 00:00:00,0.0,,ATN
49,2023-06-03 01:00:00,0.0,,ATN
50,2023-06-03 02:00:00,0.0,,ATN
51,2023-06-03 03:00:00,0.0,,ATN
52,2023-06-03 04:00:00,0.0,,ATN
53,2023-06-03 05:00:00,0.0,,ATN
54,2023-06-03 06:00:00,10.92,,ATN
55,2023-06-03 07:00:00,77.83,,ATN
56,2023-06-03 08:00:00,299.58,,ATN
57,2023-06-03 09:00:00,776.58,,ATN
58,2023-06-03 10:00:00,1250.17,,ATN
59,2023-06-03 11:00:00,1058.17,,ATN
60,2023-06-03 12:00:00,0.0,,ATN
61,2023-06-03 13:00:00,0.0,,ATN
62,2023-06-03 14:00:00,0.0,,ATN
63,2023-06-03 15:00:00,0.0,,ATN
64,2023-06-03 16:00:00,1406.17,,ATN
65,2023-06-03 17:00:00,1250.58,,ATN
66,2023-06-03 18:00:00,892.25,,ATN
67,2023-06-03 19:00:00,649.67,,ATN
68,2023-06-03 20:00:00,246.42,,ATN
69,2023-06-03 21:00:00,9.0,,ATN
70,2023-06-03 22:00:00,0.0,,ATN
71,2023-06-03 23:00:00,0.0,,ATN
72,2023-06-04 00:00:00,0.0,,ATN
73,2023-06-04 01:00:00,0.0,,ATN
74,2023-06-04 02:00:00,0.0,,ATN
75,2023-06-04 03:00:00,0.0,,ATN
76,2023-06-04 04:00:00,0.0,,ATN
77,2023-06-04 05:00:00,0.0,,ATN
78,2023-06-04 06:00:00,10.42,,ATN
79,2023-06-04 07:00:00,115.17,,ATN
80,2023-06-04 08:00:00,342.75,,ATN
81,2023-06-04 09:00:00,588.58,,ATN
82,2023-06-04 10:00:00,1099.58,,ATN
83,2023-06-04 11:00:00,1204.17,,ATN
84,2023-06-04 12:00:00,0.0,,ATN
85,2023-06-04 13:00:00,0.0,,ATN
86,2023-06-04 14:00:00,0.0,,ATN
87,2023-06-04 15:00:00,0.0,,ATN
88,2023-06-04 16:00:00,478.25,,ATN
89,2023-06-04 17:00:00,905.58,,ATN
90,2023-06-04 18:00:00,89.58,,ATN
91,2023-06-04 19:00:00,25.25,,ATN
92,2023-06-04 20:00:00,50.75,,ATN
93,2023-06-04 21:00:00,8.17,,ATN
94,2023-06-04 22:00:00,0.0,,ATN
95,2023-06-04 23:00:00,0.0,,ATN
96,2023-06-05 00:00:00,0.0,,ATN
97,2023-06-05 01:00:00,0.0,,ATN
98,2023-06-05 02:00:00,0.0,,ATN
99,2023-06-05 03:00:00,0.0,,ATN
100,2023-06-05 04:00:00,0.0,,ATN
101,2023-06-05 05:00:00,0.0,,ATN
102,2023-06-05 06:00:00,3.33,,ATN
103,2023-06-05 07:00:00,129.42,,ATN
104,2023-06-05 08:00:00,304.58,,ATN
105,2023-06-05 09:00:00,971.42,,ATN
106,2023-06-05 10:00:00,968.67,,ATN
107,2023-06-05 11:00:00,1319.42,,ATN
108,2023-06-05 12:00:00,1518.83,,ATN
109,2023-06-05 13:00:00,1642.83,,ATN
110,2023-06-05 14:00:00,1628.17,,ATN
111,2023-06-05 15:00:00,1738.75,,ATN
112,2023-06-05 16:00:00,946.58,,ATN
113,2023-06-05 17:00:00,492.0,,ATN
114,2023-06-05 18:00:00,591.25,,ATN
115,2023-06-05 19:00:00,168.25,,ATN
116,2023-06-05 20:00:00,161.0,,ATN
117,2023-06-05 21:00:00,25.0,,ATN
118,2023-06-05 22:00:00,0.0,,ATN
119,2023-06-05 23:00:00,0.0,,ATN
120,2023-06-06 00:00:00,0.0,,ATN
121,2023-06-06 01:00:00,0.0,,ATN
122,2023-06-06 02:00:00,0.0,,ATN
123,2023-06-06 03:00:00,0.0,,ATN
124,2023-06-06 04:00:00,0.0,,ATN
125,2023-06-06 05:00:00,0.0,,ATN
