﻿Installation,ID client,Date,Courbe de charge (kWh)
ATN,,2023-06-01 00:00:00,0.00
ATN,,2023-06-01 01:00:00,0.00
ATN,,2023-06-01 02:00:00,0.00
ATN,,2023-06-01 03:00:00,0.00
ATN,,2023-06-01 04:00:00,0.00
ATN,,2023-06-01 05:00:00,0.00
ATN,,2023-06-01 06:00:00,8.25
ATN,,2023-06-01 07:00:00,88.17
ATN,,2023-06-01 08:00:00,399.83
ATN,,2023-06-01 09:00:00,752.50
ATN,,2023-06-01 10:00:00,795.83
ATN,,2023-06-01 11:00:00,946.33
ATN,,2023-06-01 12:00:00,1042.75
ATN,,2023-06-01 13:00:00,1191.83
ATN,,2023-06-01 14:00:00,1581.67
ATN,,2023-06-01 15:00:00,1453.75
ATN,,2023-06-01 16:00:00,1065.75
ATN,,2023-06-01 17:00:00,1284.25
ATN,,2023-06-01 18:00:00,366.25
ATN,,2023-06-01 19:00:00,274.17
ATN,,2023-06-01 20:00:00,148.17
ATN,,2023-06-01 21:00:00,10.33
ATN,,2023-06-01 22:00:00,0.00
ATN,,2023-06-01 23:00:00,0.00
ATN,,2023-06-02 00:00:00,0.00
ATN,,2023-06-02 01:00:00,0.00
ATN,,2023-06-02 02:00:00,0.00
ATN,,2023-06-02 03:00:00,0.00
ATN,,2023-06-02 04:00:00,0.00
ATN,,2023-06-02 05:00:00,0.00
ATN,,2023-06-02 06:00:00,8.75
ATN,,2023-06-02 07:00:00,130.08
ATN,,2023-06-02 08:00:00,547.58
ATN,,2023-06-02 09:00:00,960.92
ATN,,2023-06-02 10:00:00,1296.33
ATN,,2023-06-02 11:00:00,1542.75
ATN,,2023-06-02 12:00:00,1691.42
ATN,,2023-06-02 13:00:00,1753.75
ATN,,2023-06-02 14:00:00,1703.08
ATN,,2023-06-02 15:00:00,1611.00
ATN,,2023-06-02 16:00:00,1437.25
ATN,,2023-06-02 17:00:00,1341.25
ATN,,2023-06-02 18:00:00,504.00
ATN,,2023-06-02 19:00:00,227.67
ATN,,2023-06-02 20:00:00,133.25
ATN,,2023-06-02 21:00:00,7.75
ATN,,2023-06-02 22:00:00,0.00
ATN,,2023-06-02 23:00:00,0.00
ATN,,2023-06-03 00:00:00,0.00
ATN,,2023-06-03 01:00:00,0.00
ATN,,2023-06-03 02:00:00,0.00
ATN,,2023-06-03 03:00:00,0.00
ATN,,2023-06-03 04:00:00,0.00
ATN,,2023-06-03 05:00:00,0.00
ATN,,2023-06-03 06:00:00,10.92
ATN,,2023-06-03 07:00:00,77.83
ATN,,2023-06-03 08:00:00,299.58
ATN,,2023-06-03 09:00:00,776.58
ATN,,2023-06-03 10:00:00,1250.17
ATN,,2023-06-03 11:00:00,1058.17
ATN,,2023-06-03 12:00:00,0.00
ATN,,2023-06-03 13:00:00,0.00
ATN,,2023-06-03 14:00:00,0.00
ATN,,2023-06-03 15:00:00,0.00
ATN,,2023-06-03 16:00:00,1406.17
ATN,,2023-06-03 17:00:00,1250.58
ATN,,2023-06-03 18:00:00,892.25
ATN,,2023-06-03 19:00:00,649.67
ATN,,2023-06-03 20:00:00,246.42
ATN,,2023-06-03 21:00:00,9.00
ATN,,2023-06-03 22:00:00,0.00
ATN,,2023-06-03 23:00:00,0.00
