﻿Installation,ID client,Date,Courbe de charge (kWh)
JADAS,P000993,2023-06-01 00:00:00,0.00
JADAS,P000993,2023-06-01 01:00:00,0.00
JADAS,P000993,2023-06-01 02:00:00,0.00
JADAS,P000993,2023-06-01 03:00:00,0.00
JADAS,P000993,2023-06-01 04:00:00,0.00
JADAS,P000993,2023-06-01 05:00:00,0.00
JADAS,P000993,2023-06-01 06:00:00,9.75
JADAS,P000993,2023-06-01 07:00:00,105.08
JADAS,P000993,2023-06-01 08:00:00,359.75
JADAS,P000993,2023-06-01 09:00:00,673.42
JADAS,P000993,2023-06-01 10:00:00,1112.08
JADAS,P000993,2023-06-01 11:00:00,1232.75
JADAS,P000993,2023-06-01 12:00:00,1437.17
JADAS,P000993,2023-06-01 13:00:00,1502.67
JADAS,P000993,2023-06-01 14:00:00,2056.58
JADAS,P000993,2023-06-01 15:00:00,1189.33
JADAS,P000993,2023-06-01 16:00:00,1476.92
JADAS,P000993,2023-06-01 17:00:00,878.00
JADAS,P000993,2023-06-01 18:00:00,907.75
JADAS,P000993,2023-06-01 19:00:00,119.00
JADAS,P000993,2023-06-01 20:00:00,81.83
JADAS,P000993,2023-06-01 21:00:00,6.00
JADAS,P000993,2023-06-01 22:00:00,0.00
JADAS,P000993,2023-06-01 23:00:00,0.00
JADAS,P000993,2023-06-02 00:00:00,0.00
JADAS,P000993,2023-06-02 01:00:00,0.00
JADAS,P000993,2023-06-02 02:00:00,0.00
JADAS,P000993,2023-06-02 03:00:00,0.00
JADAS,P000993,2023-06-02 04:00:00,0.00
JADAS,P000993,2023-06-02 05:00:00,0.00
JADAS,P000993,2023-06-02 06:00:00,10.00
JADAS,P000993,2023-06-02 07:00:00,86.75
JADAS,P000993,2023-06-02 08:00:00,380.25
JADAS,P000993,2023-06-02 09:00:00,922.67
JADAS,P000993,2023-06-02 10:00:00,1417.33
JADAS,P000993,2023-06-02 11:00:00,1790.25
JADAS,P000993,2023-06-02 12:00:00,2005.42
JADAS,P000993,2023-06-02 13:00:00,2127.83
JADAS,P000993,2023-06-02 14:00:00,2136.42
JADAS,P000993,2023-06-02 15:00:00,2086.67
JADAS,P000993,2023-06-02 16:00:00,1866.00
JADAS,P000993,2023-06-02 17:00:00,1452.42
JADAS,P000993,2023-06-02 18:00:00,1015.58
JADAS,P000993,2023-06-02 19:00:00,457.00
JADAS,P000993,2023-06-02 20:00:00,121.92
JADAS,P000993,2023-06-02 21:00:00,9.58
JADAS,P000993,2023-06-02 22:00:00,0.00
JADAS,P000993,2023-06-02 23:00:00,0.00
JADAS,P000993,2023-06-03 00:00:00,0.00
JADAS,P000993,2023-06-03 01:00:00,0.00
JADAS,P000993,2023-06-03 02:00:00,0.00
JADAS,P000993,2023-06-03 03:00:00,0.00
JADAS,P000993,2023-06-03 04:00:00,0.00
JADAS,P000993,2023-06-03 05:00:00,0.00
JADAS,P000993,2023-06-03 06:00:00,7.83
JADAS,P000993,2023-06-03 07:00:00,134.08
JADAS,P000993,2023-06-03 08:00:00,432.17
JADAS,P000993,2023-06-03 09:00:00,938.83
JADAS,P000993,2023-06-03 10:00:00,1430.42
JADAS,P000993,2023-06-03 11:00:00,1492.50
JADAS,P000993,2023-06-03 12:00:00,1625.25
JADAS,P000993,2023-06-03 13:00:00,1493.25
