﻿Installation,ID client,Date,Courbe de charge (kWh)
LYCEE RESTAT - SERRE,P000387,2023-06-01 00:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-01 01:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-01 02:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-01 03:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-01 04:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-01 05:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-01 06:00:00,5.50
LYCEE RESTAT - SERRE,P000387,2023-06-01 07:00:00,56.58
LYCEE RESTAT - SERRE,P000387,2023-06-01 08:00:00,182.58
LYCEE RESTAT - SERRE,P000387,2023-06-01 09:00:00,301.50
LYCEE RESTAT - SERRE,P000387,2023-06-01 10:00:00,580.67
LYCEE RESTAT - SERRE,P000387,2023-06-01 11:00:00,475.08
LYCEE RESTAT - SERRE,P000387,2023-06-01 12:00:00,550.08
LYCEE RESTAT - SERRE,P000387,2023-06-01 13:00:00,614.50
LYCEE RESTAT - SERRE,P000387,2023-06-01 14:00:00,620.83
LYCEE RESTAT - SERRE,P000387,2023-06-01 15:00:00,693.00
LYCEE RESTAT - SERRE,P000387,2023-06-01 16:00:00,538.42
LYCEE RESTAT - SERRE,P000387,2023-06-01 17:00:00,458.67
LYCEE RESTAT - SERRE,P000387,2023-06-01 18:00:00,299.08
LYCEE RESTAT - SERRE,P000387,2023-06-01 19:00:00,81.17
LYCEE RESTAT - SERRE,P000387,2023-06-01 20:00:00,40.25
LYCEE RESTAT - SERRE,P000387,2023-06-01 21:00:00,1.50
LYCEE RESTAT - SERRE,P000387,2023-06-01 22:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-01 23:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-02 00:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-02 01:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-02 02:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-02 03:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-02 04:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-02 05:00:00,0.00
LYCEE RESTAT - SERRE,P000387,2023-06-02 06:00:00,4.83
LYCEE RESTAT - SERRE,P000387,2023-06-02 07:00:00,62.08
LYCEE RESTAT - SERRE,P000387,2023-06-02 08:00:00,224.08
LYCEE RESTAT - SERRE,P000387,2023-06-02 09:00:00,423.33
LYCEE RESTAT - SERRE,P000387,2023-06-02 10:00:00,585.17
LYCEE RESTAT - SERRE,P000387,2023-06-02 11:00:00,701.00
LYCEE RESTAT - SERRE,P000387,2023-06-02 12:00:00,744.33
LYCEE RESTAT - SERRE,P000387,2023-06-02 13:00:00,749.42
LYCEE RESTAT - SERRE,P000387,2023-06-02 14:00:00,739.33
LYCEE RESTAT - SERRE,P000387,2023-06-02 15:00:00,725.17
LYCEE RESTAT - SERRE,P000387,2023-06-02 16:00:00,588.83
