﻿Installation,ID client,Date,Courbe de charge (kWh)
SAINT MARCEL,,2023-06-01 00:00:00,0.00
SAINT MARCEL,,2023-06-01 01:00:00,0.00
SAINT MARCEL,,2023-06-01 02:00:00,0.00
SAINT MARCEL,,2023-06-01 03:00:00,0.00
SAINT MARCEL,,2023-06-01 04:00:00,0.00
SAINT MARCEL,,2023-06-01 05:00:00,0.00
SAINT MARCEL,,2023-06-01 06:00:00,10.00
SAINT MARCEL,,2023-06-01 07:00:00,59.25
SAINT MARCEL,,2023-06-01 08:00:00,190.42
SAINT MARCEL,,2023-06-01 09:00:00,206.00
SAINT MARCEL,,2023-06-01 10:00:00,297.50
SAINT MARCEL,,2023-06-01 11:00:00,425.50
SAINT MARCEL,,2023-06-01 12:00:00,443.25
SAINT MARCEL,,2023-06-01 13:00:00,438.42
SAINT MARCEL,,2023-06-01 14:00:00,443.00
SAINT MARCEL,,2023-06-01 15:00:00,345.67
SAINT MARCEL,,2023-06-01 16:00:00,356.83
SAINT MARCEL,,2023-06-01 17:00:00,313.67
SAINT MARCEL,,2023-06-01 18:00:00,187.25
SAINT MARCEL,,2023-06-01 19:00:00,108.08
SAINT MARCEL,,2023-06-01 20:00:00,65.75
SAINT MARCEL,,2023-06-01 21:00:00,2.42
SAINT MARCEL,,2023-06-01 22:00:00,0.00
SAINT MARCEL,,2023-06-01 23:00:00,0.00
SAINT MARCEL,,2023-06-02 00:00:00,0.00
SAINT MARCEL,,2023-06-02 01:00:00,0.00
SAINT MARCEL,,2023-06-02 02:00:00,0.00
SAINT MARCEL,,2023-06-02 03:00:00,0.00
SAINT MARCEL,,2023-06-02 04:00:00,0.00
SAINT MARCEL,,2023-06-02 05:00:00,0.00
SAINT MARCEL,,2023-06-02 06:00:00,10.58
SAINT MARCEL,,2023-06-02 07:00:00,60.42
SAINT MARCEL,,2023-06-02 08:00:00,160.33
SAINT MARCEL,,2023-06-02 09:00:00,263.75
SAINT MARCEL,,2023-06-02 10:00:00,345.83
SAINT MARCEL,,2023-06-02 11:00:00,403.33
SAINT MARCEL,,2023-06-02 12:00:00,435.83
SAINT MARCEL,,2023-06-02 13:00:00,450.25
SAINT MARCEL,,2023-06-02 14:00:00,386.08
SAINT MARCEL,,2023-06-02 15:00:00,332.00
SAINT MARCEL,,2023-06-02 16:00:00,261.83
SAINT MARCEL,,2023-06-02 17:00:00,202.83
SAINT MARCEL,,2023-06-02 18:00:00,4.08
SAINT MARCEL,,2023-06-02 19:00:00,0.00
SAINT MARCEL,,2023-06-02 20:00:00,0.00
SAINT MARCEL,,2023-06-02 21:00:00,0.00
SAINT MARCEL,,2023-06-02 22:00:00,0.00
SAINT MARCEL,,2023-06-02 23:00:00,0.00
SAINT MARCEL,,2023-06-03 00:00:00,0.00
SAINT MARCEL,,2023-06-03 01:00:00,0.00
SAINT MARCEL,,2023-06-03 02:00:00,0.00
SAINT MARCEL,,2023-06-03 03:00:00,0.00
SAINT MARCEL,,2023-06-03 04:00:00,0.00
SAINT MARCEL,,2023-06-03 05:00:00,0.00
SAINT MARCEL,,2023-06-03 06:00:00,5.42
SAINT MARCEL,,2023-06-03 07:00:00,24.67
SAINT MARCEL,,2023-06-03 08:00:00,61.08
SAINT MARCEL,,2023-06-03 09:00:00,106.67
SAINT MARCEL,,2023-06-03 10:00:00,280.83
SAINT MARCEL,,2023-06-03 11:00:00,415.08
SAINT MARCEL,,2023-06-03 12:00:00,441.50
SAINT MARCEL,,2023-06-03 13:00:00,447.75
SAINT MARCEL,,2023-06-03 14:00:00,440.83
SAINT MARCEL,,2023-06-03 15:00:00,428.00
SAINT MARCEL,,2023-06-03 16:00:00,235.58
SAINT MARCEL,,2023-06-03 17:00:00,42.25
SAINT MARCEL,,2023-06-03 18:00:00,40.00
SAINT MARCEL,,2023-06-03 19:00:00,27.25
SAINT MARCEL,,2023-06-03 20:00:00,10.67
SAINT MARCEL,,2023-06-03 21:00:00,0.00
SAINT MARCEL,,2023-06-03 22:00:00,0.00
SAINT MARCEL,,2023-06-03 23:00:00,0.00
SAINT MARCEL,,2023-06-04 00:00:00,0.00
SAINT MARCEL,,2023-06-04 01:00:00,0.00
SAINT MARCEL,,2023-06-04 02:00:00,0.00
SAINT MARCEL,,2023-06-04 03:00:00,0.00
SAINT MARCEL,,2023-06-04 04:00:00,0.00
SAINT MARCEL,,2023-06-04 05:00:00,0.00
SAINT MARCEL,,2023-06-04 06:00:00,0.00
SAINT MARCEL,,2023-06-04 07:00:00,0.00
SAINT MARCEL,,2023-06-04 08:00:00,0.00
SAINT MARCEL,,2023-06-04 09:00:00,0.00
SAINT MARCEL,,2023-06-04 10:00:00,0.00
SAINT MARCEL,,2023-06-04 11:00:00,0.00
SAINT MARCEL,,2023-06-04 12:00:00,0.00
SAINT MARCEL,,2023-06-04 13:00:00,0.00
SAINT MARCEL,,2023-06-04 14:00:00,0.00
SAINT MARCEL,,2023-06-04 15:00:00,0.00
SAINT MARCEL,,2023-06-04 16:00:00,0.00
SAINT MARCEL,,2023-06-04 17:00:00,0.00
SAINT MARCEL,,2023-06-04 18:00:00,0.00
SAINT MARCEL,,2023-06-04 19:00:00,0.00
SAINT MARCEL,,2023-06-04 20:00:00,0.00
SAINT MARCEL,,2023-06-04 21:00:00,0.00
SAINT MARCEL,,2023-06-04 22:00:00,0.00
SAINT MARCEL,,2023-06-04 23:00:00,0.00
SAINT MARCEL,,2023-06-05 00:00:00,0.00
SAINT MARCEL,,2023-06-05 01:00:00,0.00
SAINT MARCEL,,2023-06-05 02:00:00,0.00
SAINT MARCEL,,2023-06-05 03:00:00,0.00
SAINT MARCEL,,2023-06-05 04:00:00,0.00
SAINT MARCEL,,2023-06-05 05:00:00,0.00
SAINT MARCEL,,2023-06-05 06:00:00,0.00
SAINT MARCEL,,2023-06-05 07:00:00,0.00
SAINT MARCEL,,2023-06-05 08:00:00,0.00
SAINT MARCEL,,2023-06-05 09:00:00,0.00
SAINT MARCEL,,2023-06-05 10:00:00,0.00
SAINT MARCEL,,2023-06-05 11:00:00,0.00
SAINT MARCEL,,2023-06-05 12:00:00,271.67
SAINT MARCEL,,2023-06-05 13:00:00,420.25
SAINT MARCEL,,2023-06-05 14:00:00,420.33
SAINT MARCEL,,2023-06-05 15:00:00,402.92
SAINT MARCEL,,2023-06-05 16:00:00,370.58
SAINT MARCEL,,2023-06-05 17:00:00,297.92
SAINT MARCEL,,2023-06-05 18:00:00,174.67
SAINT MARCEL,,2023-06-05 19:00:00,51.58
SAINT MARCEL,,2023-06-05 20:00:00,21.08
SAINT MARCEL,,2023-06-05 21:00:00,0.42
SAINT MARCEL,,2023-06-05 22:00:00,0.00
SAINT MARCEL,,2023-06-05 23:00:00,0.00
SAINT MARCEL,,2023-06-06 00:00:00,0.00
SAINT MARCEL,,2023-06-06 01:00:00,0.00
SAINT MARCEL,,2023-06-06 02:00:00,0.00
SAINT MARCEL,,2023-06-06 03:00:00,0.00
SAINT MARCEL,,2023-06-06 04:00:00,0.00
SAINT MARCEL,,2023-06-06 05:00:00,0.00
SAINT MARCEL,,2023-06-06 06:00:00,12.00
SAINT MARCEL,,2023-06-06 07:00:00,63.25
SAINT MARCEL,,2023-06-06 08:00:00,162.17
SAINT MARCEL,,2023-06-06 09:00:00,266.75
SAINT MARCEL,,2023-06-06 10:00:00,353.42
SAINT MARCEL,,2023-06-06 11:00:00,402.92
SAINT MARCEL,,2023-06-06 12:00:00,433.33
SAINT MARCEL,,2023-06-06 13:00:00,440.83
SAINT MARCEL,,2023-06-06 14:00:00,410.00
SAINT MARCEL,,2023-06-06 15:00:00,412.58
SAINT MARCEL,,2023-06-06 16:00:00,331.67
SAINT MARCEL,,2023-06-06 17:00:00,223.67
SAINT MARCEL,,2023-06-06 18:00:00,119.17
SAINT MARCEL,,2023-06-06 19:00:00,71.33
SAINT MARCEL,,2023-06-06 20:00:00,19.50
SAINT MARCEL,,2023-06-06 21:00:00,0.17
SAINT MARCEL,,2023-06-06 22:00:00,0.00
SAINT MARCEL,,2023-06-06 23:00:00,0.00
SAINT MARCEL,,2023-06-07 00:00:00,0.00
SAINT MARCEL,,2023-06-07 01:00:00,0.00
SAINT MARCEL,,2023-06-07 02:00:00,0.00
SAINT MARCEL,,2023-06-07 03:00:00,0.00
SAINT MARCEL,,2023-06-07 04:00:00,0.00
SAINT MARCEL,,2023-06-07 05:00:00,0.00
SAINT MARCEL,,2023-06-07 06:00:00,13.92
SAINT MARCEL,,2023-06-07 07:00:00,59.33
SAINT MARCEL,,2023-06-07 08:00:00,107.67
SAINT MARCEL,,2023-06-07 09:00:00,208.08
SAINT MARCEL,,2023-06-07 10:00:00,294.83
SAINT MARCEL,,2023-06-07 11:00:00,410.50
SAINT MARCEL,,2023-06-07 12:00:00,441.17
SAINT MARCEL,,2023-06-07 13:00:00,458.75
