,Date,Energie (kWh),Installation,Irradiance
0,2023-06-01 00:00:00,0.0,ATN,0.0
1,2023-06-01 01:00:00,0.0,ATN,0.0
2,2023-06-01 02:00:00,0.0,ATN,0.0
3,2023-06-01 03:00:00,0.0,ATN,0.0
4,2023-06-01 04:00:00,0.0,ATN,0.0
5,2023-06-01 05:00:00,0.0,ATN,0.0
6,2023-06-01 06:00:00,8.25,ATN,1.2136470066974272
7,2023-06-01 07:00:00,88.17,ATN,23.56876065676013
8,2023-06-01 08:00:00,399.83,ATN,84.92608436916831
9,2023-06-01 09:00:00,752.5,ATN,305.57355902151875
10,2023-06-01 10:00:00,795.83,ATN,384.0167590327165
11,2023-06-01 11:00:00,946.33,ATN,452.4783905368095
12,2023-06-01 12:00:00,1042.75,ATN,477.97859110309577
13,2023-06-01 13:00:00,1191.83,ATN,514.0344779603446
14,2023-06-01 14:00:00,1581.67,ATN,735.3355999755933
15,2023-06-01 15:00:00,1453.75,ATN,737.9419822503611
16,2023-06-01 16:00:00,1065.75,ATN,547.623817865181
17,2023-06-01 17:00:00,1284.25,ATN,521.5437582366766
18,2023-06-01 18:00:00,366.25,ATN,278.01427575211187
19,2023-06-01 19:00:00,274.17,ATN,273.98886801616925
20,2023-06-01 20:00:00,148.17,ATN,91.46549280865815
21,2023-06-01 21:00:00,10.33,ATN,11.544310324353956
22,2023-06-01 22:00:00,0.0,ATN,0.0
23,2023-06-01 23:00:00,0.0,ATN,0.0
24,2023-06-02 00:00:00,0.0,ATN,0.0
25,2023-06-02 01:00:00,0.0,ATN,0.0
26,2023-06-02 02:00:00,0.0,ATN,0.0
27,2023-06-02 03:00:00,0.0,ATN,0.0
28,2023-06-02 04:00:00,0.0,ATN,0.0
29,2023-06-02 05:00:00,0.0,ATN,0.0
30,2023-06-02 06:00:00,8.75,ATN,2.706874327254094
31,2023-06-02 07:00:00,130.08,ATN,82.14236987229218
32,2023-06-02 08:00:00,547.58,ATN,214.6559446547705
33,2023-06-02 09:00:00,960.92,ATN,398.4928944429992
34,2023-06-02 10:00:00,1296.33,ATN,575.9317939451989
35,2023-06-02 11:00:00,1542.75,ATN,720.0877555032348
36,2023-06-02 12:00:00,1691.42,ATN,831.4858644751461
37,2023-06-02 13:00:00,1753.75,ATN,893.9491553846273
38,2023-06-02 14:00:00,1703.08,ATN,908.8770441389164
39,2023-06-02 15:00:00,1611.0,ATN,871.9118311892898
40,2023-06-02 16:00:00,1437.25,ATN,791.4779595613219
41,2023-06-02 17:00:00,1341.25,ATN,614.8673158013644
42,2023-06-02 18:00:00,504.0,ATN,192.66756647525125
43,2023-06-02 19:00:00,227.67,ATN,89.92120467508605
44,2023-06-02 20:00:00,133.25,ATN,80.43994981195473
45,2023-06-02 21:00:00,7.75,ATN,11.421620009961105
46,2023-06-02 22:00:00,0.0,ATN,0.0
47,2023-06-02 23:00:00,0.0,ATN,0.0
48,2023-06-03 00:00:00,0.0,ATN,0.0
49,2023-06-03 01:00:00,0.0,ATN,0.0
50,2023-06-03 02:00:00,0.0,ATN,0.0
51,2023-06-03 03:00:00,0.0,ATN,0.0
52,2023-06-03 04:00:00,0.0,ATN,0.0
53,2023-06-03 05:00:00,0.0,ATN,0.0
54,2023-06-03 06:00:00,10.92,ATN,1.6844131442586312
55,2023-06-03 07:00:00,77.83,ATN,33.349656770106954
56,2023-06-03 08:00:00,299.58,ATN,73.24127369919387
57,2023-06-03 09:00:00,776.58,ATN,346.9413264031118
58,2023-06-03 10:00:00,1250.17,ATN,544.8334264058694
59,2023-06-03 11:00:00,1058.17,ATN,670.8879917593107
60,2023-06-03 12:00:00,0.0,ATN,491.951079399591
61,2023-06-03 13:00:00,0.0,ATN,290.92830163975555
62,2023-06-03 14:00:00,0.0,ATN,335.9983090142977
63,2023-06-03 15:00:00,0.0,ATN,838.1535572110164
64,2023-06-03 16:00:00,1406.17,ATN,795.2532287661056
65,2023-06-03 17:00:00,1250.58,ATN,682.6703113558041
66,2023-06-03 18:00:00,892.25,ATN,511.2261900432092
67,2023-06-03 19:00:00,649.67,ATN,309.8364724464305
68,2023-06-03 20:00:00,246.42,ATN,45.74966441552977
69,2023-06-03 21:00:00,9.0,ATN,5.998474586647545
70,2023-06-03 22:00:00,0.0,ATN,0.0
71,2023-06-03 23:00:00,0.0,ATN,0.0
72,2023-06-04 00:00:00,0.0,ATN,0.0
73,2023-06-04 01:00:00,0.0,ATN,0.0
74,2023-06-04 02:00:00,0.0,ATN,0.0
75,2023-06-04 03:00:00,0.0,ATN,0.0
76,2023-06-04 04:00:00,0.0,ATN,0.0
77,2023-06-04 05:00:00,0.0,ATN,0.0
78,2023-06-04 06:00:00,10.42,ATN,2.5665860104256226
79,2023-06-04 07:00:00,115.17,ATN,66.33009460528238
80,2023-06-04 08:00:00,342.75,ATN,132.614800808173
81,2023-06-04 09:00:00,588.58,ATN,230.7114333166666
