Date,Onduleur,P_AC (kW),E_DAY (kWh),U_AC,I_AC,COS_PHI,Q_REACTIVE (kVAR),P_DC (kW),U_DC,I_DC,Fréquence (Hz),Température (°C),CycleTime
2023-10-01 06:45:00,#INV7 ESN:ES2090008166,0.0,607.01,780.23,0.0,0.0,0.0,,,,49.98,18.0,5.0
2023-10-01 06:45:00,#INV9 ESN:ES2090007440,0.0,488.93,780.37,0.0,0.0,0.0,,,,49.99,18.0,5.0
2023-10-01 06:45:00,#INV6 ESN:ES2090019918,0.0,502.89,780.67,0.0,0.0,0.0,,,,49.99,19.0,5.0
2023-10-01 06:45:00,#INV5 ESN:ES2090019500,0.0,632.66,779.6,0.0,0.0,0.0,,,,49.98,18.4,5.0
2023-10-01 06:45:00,#INV10 ESN:ES2090007461,0.0,408.74,780.17,0.0,0.0,0.0,,,,49.99,19.4,5.0
2023-10-01 06:45:00,#INV3 ESN:ES2170041972,0.0,614.49,777.77,0.0,0.0,0.0,,,,49.99,29.6,5.0
2023-10-01 06:45:00,#INV4 ESN:ES2090019942,0.0,554.21,779.27,0.0,0.0,0.0,,,,49.99,19.2,5.0
2023-10-01 06:45:00,#INV8 ESN:ES2090008157,0.0,547.59,779.2,0.0,0.0,0.0,,,,49.98,19.1,5.0
2023-10-01 06:45:00,#INV2 ESN:ES2090008130,0.0,502.62,779.93,0.0,0.0,0.0,,,,49.99,19.5,5.0
2023-10-01 06:45:00,#INV1 ESN:ES2090019501,0.0,598.66,780.1,0.0,0.0,0.0,,,,49.99,19.4,5.0
2023-10-01 06:45:00,#INV11 ESN:ES2090019214,0.0,443.72,781.07,0.0,0.0,0.0,,,,49.99,18.1,5.0
2023-10-01 06:50:00,#INV9 ESN:ES2090007440,0.0,488.93,779.07,0.0,0.0,0.0,,,,50.0,19.0,5.0
2023-10-01 06:50:00,#INV1 ESN:ES2090019501,0.0,598.66,778.4,0.0,0.0,0.0,,,,50.0,20.2,5.0
2023-10-01 06:50:00,#INV7 ESN:ES2090008166,0.0,607.01,779.0,0.0,0.0,0.0,,,,50.0,18.8,5.0
2023-10-01 06:50:00,#INV6 ESN:ES2090019918,0.0,502.89,778.83,0.0,0.0,0.0,,,,50.0,19.6,5.0
2023-10-01 06:50:00,#INV3 ESN:ES2170041972,0.18,614.49,775.87,0.13,1.0,0.02,,,,50.0,26.1,5.0
2023-10-01 06:50:00,#INV5 ESN:ES2090019500,0.0,632.66,778.3,0.0,0.0,0.0,,,,50.0,19.4,5.0
2023-10-01 06:50:00,#INV2 ESN:ES2090008130,0.0,502.62,777.7,0.0,0.0,0.0,,,,50.0,20.3,5.0
2023-10-01 06:50:00,#INV8 ESN:ES2090008157,0.0,547.59,778.0,0.0,0.0,0.0,,,,50.0,19.9,5.0
2023-10-01 06:50:00,#INV4 ESN:ES2090019942,0.0,554.21,778.37,0.0,0.0,0.0,,,,50.0,20.0,5.0
2023-10-01 06:50:00,#INV11 ESN:ES2090019214,0.0,443.72,779.83,0.0,0.0,0.0,,,,50.0,18.9,5.0
2023-10-01 06:50:00,#INV10 ESN:ES2090007461,0.0,408.74,779.17,0.0,0.0,0.0,,,,50.01,20.2,5.0
2023-10-01 06:55:00,#INV10 ESN:ES2090007461,0.0,408.74,779.73,0.0,0.0,0.0,,,,49.98,20.8,5.0
2023-10-01 06:55:00,#INV11 ESN:ES2090019214,0.0,443.72,780.7,0.0,0.0,0.0,,,,49.98,19.5,5.0
2023-10-01 06:55:00,#INV1 ESN:ES2090019501,0.0,598.66,779.57,0.0,0.0,0.0,,,,49.98,20.8,5.0
2023-10-01 06:55:00,#INV8 ESN:ES2090008157,0.0,547.59,778.83,0.0,0.0,0.0,,,,49.98,20.5,5.0
2023-10-01 06:55:00,#INV7 ESN:ES2090008166,0.0,607.01,780.13,0.0,0.0,0.0,,,,49.98,19.6,5.0
2023-10-01 06:55:00,#INV6 ESN:ES2090019918,0.0,502.89,780.07,0.0,0.0,0.0,,,,49.98,20.2,5.0
2023-10-01 06:55:00,#INV5 ESN:ES2090019500,0.0,632.66,779.83,0.0,0.0,0.0,,,,49.98,20.0,5.0
2023-10-01 06:55:00,#INV4 ESN:ES2090019942,0.0,554.21,779.13,0.0,0.0,0.0,,,,49.98,20.6,5.0
2023-10-01 06:55:00,#INV3 ESN:ES2170041972,0.42,614.49,777.67,0.26,1.0,0.0,,,,49.98,24.5,5.0
2023-10-01 06:55:00,#INV2 ESN:ES2090008130,0.0,502.62,778.87,0.0,0.0,0.0,,,,49.98,20.7,5.0
2023-10-01 06:55:00,#INV9 ESN:ES2090007440,0.0,488.93,779.13,0.0,0.0,0.0,,,,49.98,19.8,5.0
2023-10-01 07:00:00,#INV3 ESN:ES2170041972,0.79,614.49,775.57,0.55,1.0,-0.01,,,,49.99,24.5,5.0
2023-10-01 07:00:00,#INV9 ESN:ES2090007440,0.0,488.93,777.83,0.0,0.0,0.0,,,,49.99,20.4,5.0
2023-10-01 07:00:00,#INV4 ESN:ES2090019942,0.0,554.21,777.17,0.0,0.0,0.0,,,,49.99,21.0,5.0
2023-10-01 07:00:00,#INV7 ESN:ES2090008166,0.0,607.01,778.03,0.0,0.0,0.0,,,,49.99,20.0,5.0
2023-10-01 07:00:00,#INV5 ESN:ES2090019500,0.0,632.66,777.37,0.0,0.0,0.0,,,,49.99,20.4,5.0
2023-10-01 07:00:00,#INV6 ESN:ES2090019918,0.0,502.89,778.67,0.0,0.0,0.0,,,,49.99,20.6,5.0
2023-10-01 07:00:00,#INV10 ESN:ES2090007461,0.0,408.74,777.83,0.0,0.0,0.0,,,,49.99,21.2,5.0
