,sites,timestamp, inverter,volt,cosphi,frequency,current,operating_h_tot,data,power,apparent_power,power_in,temperature,nominal_power,inverter
0,P000435,2023-11-22 08:15:00,,,,,,,1.0,0.0,,364.04,9.0,96.6,101550319
39,P001288,2023-11-22 00:00:00,,,,0.0,,,1.0,0.0,,0.0,,63.48,6T2269024878
40,P001288,2023-11-22 00:00:00,,,,0.0,,,1.0,0.0,,0.0,,111.55,6T2269032337
324,P000618,2023-11-22 08:30:00,,,,,,,1.0,0.0,,-60.34,16.0,52.44,111140057
327,P000618,2023-11-22 09:15:00,,,,,,,1.0,0.0,,-134.12,15.0,69.0,104340152
403,P002165,2023-11-22 00:00:00,,,0.0,50.0,,,1.0,0.0,,0.0,14.8,1131.35,1
404,P002165,2023-11-22 00:00:00,,,-0.0001,50.0,,,1.0,0.0,,0.0,26.5,518.65,2
979,P002159,2023-11-22 03:03:00,,,0.0,50.0,3.4,,1.0,0.0,,0.0,15.5,1248.975,OND1-XP1000-BP
980,P002159,2023-11-22 03:03:00,,,0.55,50.0,2.9,,1.0,0.0,,0.0,15.4,800.625,OND2-XP1000-BP
1219,P000429,2023-11-22 08:01:00,,234.15712,,50.002998,0.0,27394.042777777777,1.0,0.0,,0.0,13.127319,14.49,115192
1220,P000429,2023-11-22 08:01:00,,234.605576,,49.993999,0.0,37967.66166666667,1.0,0.0,,0.0,12.863586,13.8,567854
1221,P000429,2023-11-22 08:01:00,,235.053162,,50.012001,0.0,38031.54138888889,1.0,0.0,,0.0,15.513275,14.49,580097
1222,P000429,2023-11-22 08:01:00,,234.637573,,50.002998,0.0,38009.826944444445,1.0,0.0,,0.0,12.863586,14.49,623690
1223,P000429,2023-11-22 08:01:00,,234.477524,,50.006001,0.0,37982.05111111111,1.0,0.0,,0.0,12.512329,13.8,623700
1224,P000429,2023-11-22 08:01:00,,234.333221,,50.002502,0.0,37797.16111111111,1.0,0.0,,0.0,12.600113,14.26,777151
1225,P000429,2023-11-22 08:01:00,,235.133011,,50.011002,0.0,35354.73333333333,1.0,0.0,,0.0,15.691284,14.49,809230
1227,P000429,2023-11-22 08:10:00,,233.928802,,50.000103,0.868391,47163.04055555556,1.0,41.840401,,45.377012,14.997946,14.49,137509
1228,P000429,2023-11-22 08:10:00,,234.103836,,49.998703,0.678023,53921.03944444445,1.0,15.554568,,18.54511,13.232874,9.2,186517
