reference,Centrale,inverter.name,Invertername Corrected,Inverter num,inverter.serial,inverter.model,inverter.data.address,enabled,puissance Nominale (kW)
P000187,Gobbini Thopaudor ,Onduleur 1 (104.5 kWc),Onduleur 1,1,104740004,LTI/LTI/PVM 450-100,192.168.36.240,True,104.5
P000187,Gobbini Thopaudor ,Onduleur 2 (73.92 kWc),Onduleur 2,2,104740012,LTI/LTI/PVM 450-068,192.168.36.240,True,73.92
P000187,Gobbini Thopaudor ,Onduleur 3 (66 kWc),Onduleur 3,3,105040043,LTI/LTI/PVM 450-068,192.168.36.240,True,66.0
P000187,Gobbini Thopaudor ,Onduleur 4 (55.44 kWc),Onduleur 4,4,104340125,LTI/LTI/PVM 450-047,192.168.36.240,True,55.44
P000187,Gobbini Thopaudor ,Onduleur 5 (57.2 kWc),Onduleur 5,5,104340164,LTI/LTI/PVM 450-047,192.168.36.240,True,57.2
P000187,Gobbini Thopaudor ,Onduleur 6 (108.68 kWc),Onduleur 6,6,104340119,LTI/LTI/PVM 450-100,192.168.36.240,True,108.68
P000187,Gobbini Thopaudor ,Onduleur 7 (66 kWc),Onduleur 7,7,110240072,LTI/LTI/PVM 450-068,192.168.36.240,True,66.0
P000187,Gobbini Thopaudor ,Onduleur 8 (73.92 kWc),Onduleur 8,8,104340126,LTI/LTI/PVM 450-068,192.168.36.240,True,73.92
P000187,Gobbini Thopaudor ,Onduleur 9 (110 kWc),Onduleur 9,9,101350383,LTI/LTI/PVM 450-100,192.168.36.240,True,110.0
P000276,Ferme du Layon,Onduleur 1,Onduleur 1,1,111540054,LTI/LTI/PVM 450-100,192.168.36.110,True,108.68
P000276,Ferme du Layon,Onduleur 2,Onduleur 2,2,113040005,LTI/LTI/PVM 450-047,192.168.36.126,True,48.4
P000327,Cogevi,"PLC 1 Ond 01 - BJ 4/9 (104,88 kWc)",PLC 1 Ond 01 - BJ 4/9,1,105040055,LTI/LTI/PVM 450-100,192.168.0.151,True,104.88
P000327,Cogevi,"PLC 1 Ond 02 - BJ 5/8 (104,88 kWc)",PLC 1 Ond 02 - BJ 5/8,2,110240140,LTI/LTI/PVM 450-100,192.168.0.151,True,104.88
P000327,Cogevi,"PLC 1 Ond 03 - BJ 2/11* (104,88 kWc)",PLC 1 Ond 03 - BJ 2/11*,4,105040063,LTI/LTI/PVM 450-100,192.168.0.151,True,104.88
P000327,Cogevi,"PLC 1 Ond 04 - BJ 1/12 (104,88 kWc)",PLC 1 Ond 04 - BJ 1/12,6,110240142,LTI/LTI/PVM 450-100,192.168.0.151,True,104.88
P000327,Cogevi,"PLC 1 Ond 05 - BJ 17/18 (104,88 kWc)",PLC 1 Ond 05 - BJ 17/18,7,104740007,LTI/LTI/PVM 450-100,192.168.0.151,True,104.88
P000327,Cogevi,"PLC 1 Ond 06 - BJ 3/10 (104,88 kWc)",PLC 1 Ond 06 - BJ 3/10,8,112350382,LTI/LTI/PVM 450-100,192.168.0.151,True,104.88
P000327,Cogevi,"PLC 1 Ond 07 - BJ 15/16 (104,88 kWc)",PLC 1 Ond 07 - BJ 15/16,9,112040078,LTI/LTI/PVM 450-100,192.168.0.151,True,104.88
P000327,Cogevi,"PLC 1 Ond 08 - BJ 14/23 (104,88 kWc)",PLC 1 Ond 08 - BJ 14/23,10,111540075,LTI/LTI/PVM 450-100,192.168.0.151,True,104.88
P000327,Cogevi,"PLC 1 Ond 09 - BJ 6/7 (104,88 kWc)",PLC 1 Ond 09 - BJ 6/7,11,104740008,LTI/LTI/PVM 450-100,192.168.0.151,True,104.88
P000327,Cogevi,"PLC 1 Ond 10 - BJ 13/24 (104,88 kWc)",PLC 1 Ond 10 - BJ 13/24,12,105040058,LTI/LTI/PVM 450-100,192.168.0.151,True,104.88
P000327,Cogevi,"PLC 2 Ond 01 - BJ 21/28 (104,88 kWc)",PLC 2 Ond 01 - BJ 21/28,13,104740001,LTI/LTI/PVM 450-100,192.168.0.152,True,104.88
P000327,Cogevi,"PLC 2 Ond 02 - BJ 20/29 (104,88 kWc)",PLC 2 Ond 02 - BJ 20/29,14,105040059,LTI/LTI/PVM 450-100,192.168.0.152,True,104.88
