"idDonneesCentrale","temps","compteurEnergie","irradiance_en_watt_par_surface","idCentrale_id"
1,"2024-03-19 07:20:00+01",NULL,"0.00",1
2,"2024-03-19 07:30:00+01",NULL,"0.00",1
3,"2024-03-19 07:40:00+01",NULL,"0.00",1
4,"2024-03-19 07:50:00+01",NULL,"0.00",1
5,"2024-03-19 08:00:00+01",NULL,"0.15",1
6,"2024-03-19 08:10:00+01",NULL,"0.00",1
7,"2024-03-19 08:20:00+01",NULL,"0.00",1
8,"2024-03-19 08:30:00+01",NULL,"5.38",1
9,"2024-03-19 08:40:00+01",NULL,"0.00",1
10,"2024-03-19 08:50:00+01",NULL,"0.00",1
11,"2024-03-19 09:00:00+01",NULL,"14.98",1
12,"2024-03-19 09:10:00+01",NULL,"0.00",1
13,"2024-03-19 09:20:00+01",NULL,"0.00",1
14,"2024-03-19 09:30:00+01",NULL,"55.06",1
15,"2024-03-19 09:40:00+01",NULL,"0.00",1
16,"2024-03-19 09:50:00+01",NULL,"0.00",1
17,"2024-03-19 10:00:00+01",NULL,"94.32",1
18,"2024-03-19 10:10:00+01",NULL,"0.00",1
19,"2024-03-19 10:20:00+01",NULL,"0.00",1
20,"2024-03-19 10:30:00+01",NULL,"134.24",1
21,"2024-03-19 10:40:00+01",NULL,"0.00",1
22,"2024-03-19 10:50:00+01",NULL,"0.00",1
23,"2024-03-19 11:00:00+01",NULL,"154.50",1
24,"2024-03-19 11:10:00+01",NULL,"0.00",1
25,"2024-03-19 11:20:00+01",NULL,"0.00",1
26,"2024-03-19 11:30:00+01",NULL,"175.11",1
27,"2024-03-19 11:40:00+01",NULL,"0.00",1
28,"2024-03-19 11:50:00+01",NULL,"0.00",1
29,"2024-03-19 12:00:00+01",NULL,"179.29",1
30,"2024-03-19 12:10:00+01",NULL,"0.00",1
31,"2024-03-19 12:20:00+01",NULL,"0.00",1
32,"2024-03-19 12:30:00+01",NULL,"199.23",1
33,"2024-03-19 12:40:00+01",NULL,"0.00",1
34,"2024-03-19 12:50:00+01",NULL,"0.00",1
35,"2024-03-19 13:00:00+01",NULL,"189.73",1
36,"2024-03-19 13:10:00+01",NULL,"0.00",1
37,"2024-03-19 13:20:00+01",NULL,"0.00",1
38,"2024-03-19 13:30:00+01",NULL,"194.69",1
39,"2024-03-19 13:40:00+01",NULL,"0.00",1
40,"2024-03-19 13:50:00+01",NULL,"0.00",1
41,"2024-03-19 14:00:00+01",NULL,"199.01",1
42,"2024-03-19 14:10:00+01",NULL,"0.00",1
43,"2024-03-19 14:20:00+01",NULL,"0.00",1
44,"2024-03-19 14:30:00+01",NULL,"200.87",1
45,"2024-03-19 14:40:00+01",NULL,"0.00",1
46,"2024-03-19 14:50:00+01",NULL,"0.00",1
47,"2024-03-19 15:00:00+01",NULL,"191.27",1
48,"2024-03-19 15:10:00+01",NULL,"0.00",1
49,"2024-03-19 15:20:00+01",NULL,"0.00",1
50,"2024-03-19 15:30:00+01",NULL,"175.68",1
51,"2024-03-19 15:40:00+01",NULL,"0.00",1
52,"2024-03-19 15:50:00+01",NULL,"0.00",1
53,"2024-03-19 16:00:00+01",NULL,"151.01",1
54,"2024-03-19 16:10:00+01",NULL,"0.00",1
55,"2024-03-19 16:20:00+01",NULL,"0.00",1
56,"2024-03-19 16:30:00+01",NULL,"123.53",1
57,"2024-03-19 16:40:00+01",NULL,"0.00",1
58,"2024-03-19 16:50:00+01",NULL,"0.00",1
