Date;Moyenne Lever du soleil;Moyenne Coucher du soleil;Durée du jour;Durée de la nuit
Janvier;08:26:00;17:43:00;09:17:00;14:42:00
Février;07:55:00;18:23:00;10:27:00;13:32:00
Mars;07:12:00;19:07:00;11:55:00;12:04:00
Avril;07:11:00;20:39:00;13:27:00;10:32:00
Mai;06:28:00;21:15:00;14:46:00;09:13:00
Juin;06:11:00;21:39:00;15:28:00;08:31:00
Juillet;06:26:00;21:35:00;15:08:00;08:51:00
Août;06:59:00;20:58:00;13:59:00;10:00:00
Septembre;07:34:00;20:05:00;12:31:00;11:28:00
Octobre;08:05:00;19:05:00;10:59:00;13:00:00
Novembre;07:51:00;17:29:00;09:38:00;14:21:00
Décembre;08:23:00;17:18:00;08:55:00;15:04:00
